URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/questionnaire-answers-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.448",QuestionnaireResponseStatus,QuestionnaireResponseStatus,"Lifecycle status of the questionnaire response.","ValueSet/questionnaire-answers-status"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/EnfermedadesPreviasCodificacionVS,ValueSet/ComplicacionEmbarazoOtroVS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/EsaviOtroVS,ValueSet/EnfermedadesPreviasCodificacionVS,ValueSet/CodigoMedicamentoVS,ValueSet/FormaFarmaceuticaVS,ValueSet/questionnaire-answers,ValueSet/ViaAdminMedicamentoVS,ValueSet/CodigoNoWhoVacunaVS,ValueSet/ComplicacionEmbarazoOtroVS"
http://terminology.hl7.org/CodeSystem/v2-0203,3.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceCS,0.1.43,active,,ClasificacionDesenlaceCS,Desenlaces Tras ESAVI,"Clasificación de Desenlace Tras Sufrir ESAVI","ValueSet/ClasificacionDesenlaceVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceNaranjoCS,0.1.43,active,,ClasificacionDesenlaceNaranjoCS,Clasificación de causalidad Naranjo,"Método de clasificación de causalidad Naranjo","ValueSet/ClasificacionDesenlaceNaranjoVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceWHOAEFICS,0.1.43,active,,ClasificacionDesenlaceWHOAEFICS,Clasificación de causalidad WHO-AEFI,"Método de clasificación de causalidad WHO-AEFI","ValueSet/ClasificacionDesenlaceWHOAEFIVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceWHOUMCCS,0.1.43,active,,ClasificacionDesenlaceWHOUMCCS,Clasificación de causalidad WHO-UMC,"Método de clasificación de causalidad WHO-UMC","ValueSet/ClasificacionDesenlaceWHOUMCVS"
https://paho.org/fhir/esavi/CodeSystem/CodigoWhoFabricanteCS,0.1.43,active,,CodigoWhoFabricanteCS,Fabricante   Vacuna,"Códigos Fabricantes Vacunas de WHO","ValueSet/CodigoWhoFabricanteVS"
https://paho.org/fhir/esavi/CodeSystem/ComplicacionEmbarazoCS,0.1.43,active,,ComplicacionEmbarazoCS,Complicaciones de Embarazo,"Códigos para las Complicaciones de Embarazo","ValueSet/ComplicacionEmbarazoVS"
https://paho.org/fhir/esavi/CodeSystem/DirOrgNotiCS,0.1.43,active,,DirOrgNotiCS,Códigos PAHO para Direcciones,"Códigos para Direcciones según PAHO","ValueSet/DirOrgNotiVS"
https://paho.org/fhir/esavi/CodeSystem/ModoConfirmacionInfeccionCS,0.1.43,active,,ModoConfirmacionInfeccionCS,Modo de Confirmación de la Infección,"Modos de Confirmacion de Infección por COVID-19","ValueSet/ModoConfirmacionInfeccionVS"
https://paho.org/fhir/esavi/CodeSystem/ModoVerificacionVacunaCS,0.1.43,active,,ModoVerificacionVacunaCS,Modo de Verificación de Vacunación Previa,"Modos de Verificacion de Vacuna o Esquema de Vacunación Completado","ValueSet/ModoVerificacionVacunaVS"
https://paho.org/fhir/esavi/CodeSystem/ProfesionalNotificadorCS,0.1.43,active,,ProfesionalNotificadorCS,Tipo de Profesional Notificador,"Códigos de Tipo de Notificadores de ESAVI para PAHO","ValueSet/ProfesionalNotificadorVS"
https://paho.org/fhir/esavi/CodeSystem/RespuestaSiNoNosabeCS,0.1.43,active,,RespuestaSiNoNosabeCS,Respuestas Simples,"Códigos para capturar respuestas simples si/no/no sabe","ValueSet/RespuestaSiNoNosabeVS"
https://paho.org/fhir/esavi/CodeSystem/SistemaClasfCausalidadCS,0.1.43,active,,SistemaClasfCausalidadCS,Tipo de Método de clasificación de causalidad,"Códigos para Tipos de Métodos de Clasificación de Causalidad","ValueSet/SistemaClasfCausalidadVS"
https://paho.org/fhir/esavi/CodeSystem/SistemasDeCodificacionCS,0.1.43,active,,SistemasDeCodificacionCS,Sistemas De Codificacion,"Sistemas De Codificacion para Determinación de Códigos","ValueSet/SistemasDeCodificacionVS"
https://paho.org/fhir/esavi/CodeSystem/WHODrugDC,0.1.43,active,,WHODrugDC,WHODrug DrugCode,"Fragmento de WHODrug completo con nombres genéricos y comerciales en inglés mayormente codificados por drugcode","ValueSet/CodigoWhoVacunaVS"
https://paho.org/fhir/esavi/CodeSystem/WHODrugPMID,0.1.43,active,,WHODrugPMID,WHODrug PMID,"Fragmento de WHODrug completo con nombres genericos y comerciales en inglés mayormente codificados por PMID","ValueSet/CodigoWhoVacunaVS"
https://paho.org/fhir/esavi/CodeSystem/codPaisesCS,0.1.43,active,,CodPaisesCS,Códigos de Paises,"Codigos definidos para la identificación de países segun norma ISO3166-3","ValueSet/codPaises"
https://www.meddra.org,3.0.0,active,"2.16.840.1.113883.6.163",MedDRA,Medical Dictionary for Regulatory Activities,"MedDRA is a multilingual standardised international medical terminology which can be used for regulatory communication and evaluation of data pertaining to medicinal products for human use.  MedDRA is designed for use in the registration, documentation and safety monitoring of medicinal products through all phases of the development cycle (i.e., from clinical trials to post-marketing surveillance).#13;   MedDRA is structured as a five level hierarchy. System Organ Classes (SOCs) are the broadest terms (e.g., Cardiac disorders, Investigations). The lowest level of the terminology is the Lowest Level Term (LLT) level.","ValueSet/CodigoMedDRAEnfPreviaVS,ValueSet/ComplicacionEmbarazoMedDRAVS,ValueSet/EsaviMedDRAVS"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
